**Findings**

| # | Description | Section | Specific fix | Severity |
|---|---|---|---|---|
| 1 | `spawn_sub_agents` is allowed to create lateral delegations for a root using `delegationScope='subaccount'`, but later sections say spawn edges are always `down` and `spawn_sub_agents` never writes a direction column, so the direction contract cannot be true in all places at once. | `§6.3`, `§4.5`, `§7.2` | Either restrict `spawn_sub_agents` to descendant-only targets so spawn edges are always `down`, or persist spawn-edge direction on the spawned run and update the graph contract/UI to read it. | critical |
| 2 | The route is specified as a recursive tree (`children: DelegationGraphNode[]`) while the same run may have both `parentRunId` and `handoffSourceRunId`, which makes the structure a graph/DAG with two parents, not a tree. | `§7.2` | Pick one parent pointer as canonical for this route, or change the response contract to explicit `nodes` + `edges` and rename the UI/model from “tree” to “graph.” | critical |
| 3 | `tasks.delegation_direction` is a mutable current-task field, but the run graph uses it as the historical source of truth for handoff-edge direction, so later reassignments will overwrite earlier edge semantics. | `§4.5`, `§6.4`, `§7.2` | Store handoff direction on an immutable per-run/per-handoff record, preferably by extending `agent_runs` or the handoff event path, and use `tasks.delegation_direction` only for current task state if you still need it. | critical |
| 4 | The delegation-graph route intentionally returns nodes for runs the user may not be allowed to open directly, which creates an authorization inconsistency and leaks metadata across a stricter per-run access model. | `§7.2`, `§9.3` | Either make subtree access imply direct access for every node and align the child run pages to that policy, or filter/redact inaccessible child nodes in the graph response. | critical |
| 5 | The spec repeatedly says Phase 2 establishes “exactly one active root per subaccount,” but the actual mechanism is only a partial unique index that enforces “at most one,” while zero-root subaccounts remain allowed. | `§1` item 2, `§5.1`, `§6.6` | Rewrite the invariant everywhere to “at most one active root, zero allowed until configured,” or add a concrete presence-enforcement path and make later sections depend on it. | important |
| 6 | `HierarchyContext.rootId` is defined as always present, but the spec also allows zero-root subaccounts after Phase 2, so the builder contract is undefined for valid zero-root states. | `§4.1`, `§6.1`, `§6.6`, `§11` Phase 3 | Add an explicit zero-root builder outcome such as `no_root_in_subaccount`, or require/root-create before any run that needs `HierarchyContext`; right now Phase 3 can hard-fail on an allowed Phase 2 state. | important |
| 7 | `HierarchyContext.childIds` is contractually ordered by `createdAt`, but the pure builder input does not include `createdAt`, so the determinism claim has no named enforcement mechanism. | `§4.1`, `§6.1` | Add `createdAt` to the roster shape and the pure function signature, or change the contract to a field you actually have, such as stable sort by `id`. | important |
| 8 | The spec says hierarchy is “built once per run,” but the resolver pseudocode independently calls `hierarchyContextBuilderService.buildForRun()` again instead of consuming the already-built snapshot. | `§1` item 4, `§4.1`, `§6.5` | Make `agentExecutionService` build hierarchy once and pass it into skill resolution, or explicitly drop the “once per run” claim if double-build is intentional. | important |
| 9 | `agent_runs.delegation_scope`/`hierarchy_depth` are described in `§5.3` as populated via `hierarchyContextBuilderService`, but that builder does not ship until Phase 3, while Phase 1 says the new columns are null on all new rows. | `§5.3`, `§11` Phase 1, `§14.1` | Align `§5.3` to the phase plan: Phase 1 adds nullable columns only, Phase 3 starts populating `hierarchy_depth`, and Phase 4 starts populating `delegation_scope`. | important |
| 10 | Several sections say zero-root/multi-root fallback paths “fire” workspace-health detectors immediately, but the execution model later says detectors run only in the scheduled audit sweep. | `§1` item 3, `§6.6`, `§10.4`, `§10.5` | Replace “fire detector” language with “emit structured log; detector surfaces on next audit sweep,” or name a concrete synchronous detector invocation path if that is intended. | important |
| 11 | The `hierarchy_context_missing` error contract still uses `config_list_agents` as the example even though the read-skill sections explicitly say list skills fall back instead of failing. | `§4.1`, `§4.3`, `§6.2` | Make the error code write-skill-only everywhere and replace the example with `spawn_sub_agents` or `reassign_task`, or change the list-skill behavior to fail closed consistently. | important |
| 12 | `managerWithoutDerivedSkills` conflicts with the explicit-attachment escape hatch: the spec both preserves explicit delegation skills for no-child agents and proposes warning on exactly that state. | `§6.5`, `§6.9` | Either remove the no-child explicit-attachment escape hatch, or narrow the detector to a concretely identifiable stale case instead of flagging the supported override path. | important |
| 13 | `delegation_outcomes` claims `subaccountId`/`organisationId` are safely derivable because both actor FKs point at `subaccount_agents`, but the schema does not enforce that those actor rows belong to the row’s `subaccount_id`/`organisation_id`. | `§4.4`, `§5.4`, `§9.1` | Add a concrete integrity mechanism, such as service-side same-subaccount validation plus composite FK/check support, or remove the claim that the row shape is self-enforcing. | important |
| 14 | The success metrics depend on historical hierarchy facts like “caller is a manager” or “caller is not the root,” but those facts are not stored in `delegation_outcomes`, so the queries are not actually defined against immutable data. | `§17.1`, `§17.2` | Either define the metrics against current hierarchy state explicitly, or persist the needed caller-hierarchy facts with each outcome row. | important |
| 15 | The outcome-write path is not concretely specified: “same transaction if cheap; otherwise a post-commit hook” names no actual primitive, which makes the best-effort telemetry behavior non-implementable as written. | `§10.3`, `§15.6` | Pick one exact mechanism and name the owning service path, e.g. `recordOutcomeSafe()` invoked after the core mutation in a detached try/catch, and remove the conditional write-mode prose. | important |
| 16 | The file inventory is not actually a source of truth because the permission seed change is still “location TBD by implementer,” leaving a named change without a concrete file. | `§14.1` | Replace the TBD with the exact seed file path, or mark the seed change deferred until the file location is known. | minor |
| 17 | The spec still carries stale “open/deferred” language for upward reassign even though `§6.4` and `§16.1` already resolve it. | `§13`, `§16.1` | Delete the deferred/open-question bullet and keep the resolved decision in one place only. | minor |

**Overall**

This is not implementation-ready yet. The main blockers are the delegation-edge model contradictions: the spec currently disagrees about whether spawn edges can be lateral, whether the trace structure is a tree or a graph, and where historical delegation direction actually lives. The next tier of issues is invariant clarity: zero-root subaccounts are allowed in one phase and assumed away in another, and several “single source of truth” claims are not backed by a concrete enforcement path.
