actionType,currentDefaultGateLevel,assignedRiskTier,derivedDefault,sourceIfDifferent,rationaleNote
list_platform_capabilities,auto,0,auto,,read_only
list_connections,auto,0,auto,,read_only
check_capability_gap,auto,0,auto,,read_only
request_feature,auto,1,auto,,minor_write
send_email,review,4,review,,external_comms
read_inbox,auto,0,auto,,read_only
create_task,auto,2,auto,,moderate_write
triage_intake,auto,1,auto,,minor_write
move_task,auto,2,auto,,moderate_write
read_data_source,auto,0,auto,,read_only
reassign_task,auto,2,auto,,moderate_write
add_deliverable,auto,1,auto,,minor_write
update_record,review,3,review,,significant_write
fetch_url,auto,0,auto,,read_only
scrape_url,auto,0,auto,,read_only
scrape_structured,auto,0,auto,,read_only
monitor_webpage,review,3,review,,significant_write
request_approval,review,3,review,,significant_write
write_spec,review,3,review,,significant_write
read_codebase,auto,0,auto,,read_only
search_codebase,auto,0,auto,,read_only
run_tests,auto,1,auto,,minor_write
analyze_endpoint,auto,0,auto,,read_only
report_bug,auto,1,auto,,minor_write
write_patch,review,3,review,,significant_write
run_command,review,4,review,,external_comms
create_pr,review,3,review,,significant_write
assign_task,auto,2,auto,,moderate_write
create_page,review,3,review,,significant_write
update_page,review,3,review,,significant_write
publish_page,review,3,review,,significant_write
query_subaccount_cohort,auto,0,auto,,read_only
read_org_insights,auto,0,auto,,read_only
write_org_insight,auto,1,auto,,minor_write
compute_health_score,auto,0,auto,,read_only
detect_anomaly,auto,0,auto,,read_only
compute_churn_risk,auto,0,auto,,read_only
compute_staff_activity_pulse,auto,1,auto,,minor_write
scan_integration_fingerprints,auto,1,auto,,minor_write
generate_portfolio_report,auto,0,auto,,read_only
trigger_account_intervention,review,4,review,,external_comms
ask_clarifying_question,auto,0,auto,,read_only
request_clarification,auto,0,auto,,read_only
read_workspace,auto,0,auto,,read_only
update_memory_block,review,3,review,,significant_write
web_search,auto,0,auto,,read_only
search_knowledge_base,auto,0,auto,,read_only
publish_post,review,4,review,,external_comms
read_analytics,auto,0,auto,,read_only
read_campaigns,auto,0,auto,,read_only
update_bid,review,3,review,,significant_write
update_copy,review,3,review,,significant_write
pause_campaign,review,3,review,,significant_write
increase_budget,review,5,block,preserved_existing,financial_or_destructive
enrich_contact,auto,2,auto,,moderate_write
update_crm,review,3,review,,significant_write
read_revenue,auto,0,auto,,read_only
read_expenses,auto,0,auto,,read_only
update_financial_record,review,5,block,preserved_existing,financial_or_destructive
create_lead_magnet,review,3,review,,significant_write
deliver_report,review,4,review,,external_comms
configure_integration,review,3,review,,significant_write
read_crm,auto,0,auto,,read_only
canonical_dictionary,auto,0,auto,,read_only
read_docs,auto,0,auto,,read_only
propose_doc_update,review,3,review,,significant_write
write_docs,review,3,review,,significant_write
read_priority_feed,auto,1,auto,,minor_write
search_agent_history,auto,0,auto,,read_only
config_create_agent,review,3,review,,significant_write
config_update_agent,review,3,review,,significant_write
config_activate_agent,review,3,review,,significant_write
config_link_agent,review,3,review,,significant_write
config_update_link,review,3,review,,significant_write
config_set_link_skills,review,3,review,,significant_write
config_set_link_instructions,review,2,auto,preserved_existing,moderate_write
config_set_link_schedule,review,3,review,,significant_write
config_set_link_limits,review,3,review,,significant_write
config_create_subaccount,review,3,review,,significant_write
config_create_scheduled_task,review,3,review,,significant_write
config_update_scheduled_task,review,3,review,,significant_write
config_attach_data_source,review,3,review,,significant_write
config_update_data_source,review,2,auto,preserved_existing,moderate_write
config_remove_data_source,review,3,review,,significant_write
config_restore_version,review,3,review,,significant_write
config_weekly_digest_gather,auto,0,auto,,read_only
config_deliver_workflow_output,auto,4,review,preserved_existing,external_comms
config_publish_workflow_output_to_portal,auto,2,auto,,moderate_write
workflow.run.start,auto,3,review,preserved_existing,significant_write
config_send_workflow_email_digest,review,4,review,,external_comms
crm.fire_automation,review,4,review,,external_comms
crm.send_email,review,4,review,,external_comms
crm.send_sms,review,4,review,,external_comms
crm.create_task,review,3,review,,significant_write
config_update_organisation_config,review,3,review,,significant_write
notify_operator,review,3,review,,significant_write
ask_clarifying_questions,auto,0,auto,,read_only
challenge_assumptions,auto,0,auto,,read_only
crm.query,auto,0,auto,,read_only
cached_context_budget_breach,block,3,review,preserved_existing,significant_write
update_thread_context,auto,1,auto,,minor_write
pay_invoice,review,5,block,preserved_existing,financial_or_destructive
purchase_resource,review,5,block,preserved_existing,financial_or_destructive
subscribe_to_service,review,5,block,preserved_existing,financial_or_destructive
top_up_balance,review,5,block,preserved_existing,financial_or_destructive
issue_refund,review,5,block,preserved_existing,financial_or_destructive
promote_spending_policy_to_live,review,3,review,,significant_write
